[Epoch 172/5000][train LL: -237.78; val LL: -267.33].....[train forward+backward+step 9.50; val forward 0.61]
[Epoch 173/5000][train LL: -236.46; val LL: -267.07].....[train forward+backward+step 9.59; val forward 0.62]
[Epoch 174/5000][train LL: -238.11; val LL: -267.08].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 175/5000][train LL: -240.71; val LL: -266.77].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 176/5000][train LL: -236.92; val LL: -266.18].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 177/5000][train LL: -238.24; val LL: -266.10].....[train forward+backward+step 9.42; val forward 0.61]
[Epoch 178/5000][train LL: -237.47; val LL: -266.02].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 179/5000][train LL: -238.48; val LL: -265.80].....[train forward+backward+step 9.38; val forward 0.61]
[Epoch 180/5000][train LL: -238.05; val LL: -265.84].....[train forward+backward+step 9.28; val forward 0.61]
[Epoch 181/5000][train LL: -235.27; val LL: -265.73].....[train forward+backward+step 9.28; val forward 0.61]
[Epoch 182/5000][train LL: -235.10; val LL: -265.53].....[train forward+backward+step 9.42; val forward 0.66]
[Epoch 183/5000][train LL: -234.32; val LL: -265.38].....[train forward+backward+step 9.44; val forward 0.61]
[Epoch 184/5000][train LL: -234.44; val LL: -265.08].....[train forward+backward+step 9.46; val forward 0.61]
[Epoch 185/5000][train LL: -235.98; val LL: -264.87].....[train forward+backward+step 9.41; val forward 0.61]
[Epoch 186/5000][train LL: -233.32; val LL: -264.48].....[train forward+backward+step 9.37; val forward 0.61]
[Epoch 187/5000][train LL: -236.55; val LL: -264.25].....[train forward+backward+step 9.44; val forward 0.63]
[Epoch 188/5000][train LL: -234.63; val LL: -264.22].....[train forward+backward+step 9.34; val forward 0.61]
[Epoch 189/5000][train LL: -234.65; val LL: -263.94].....[train forward+backward+step 9.30; val forward 0.61]
[Epoch 190/5000][train LL: -236.52; val LL: -263.69].....[train forward+backward+step 9.54; val forward 0.62]
[Epoch 191/5000][train LL: -236.27; val LL: -263.49].....[train forward+backward+step 9.26; val forward 0.63]
[Epoch 192/5000][train LL: -236.71; val LL: -263.53].....[train forward+backward+step 9.23; val forward 0.61]
[Epoch 193/5000][train LL: -233.21; val LL: -263.13].....[train forward+backward+step 9.58; val forward 0.60]
[Epoch 194/5000][train LL: -232.33; val LL: -263.04].....[train forward+backward+step 9.74; val forward 0.60]
[Epoch 195/5000][train LL: -232.42; val LL: -263.00].....[train forward+backward+step 9.61; val forward 0.60]
[Epoch 196/5000][train LL: -233.94; val LL: -262.90].....[train forward+backward+step 9.31; val forward 0.60]
[Epoch 197/5000][train LL: -234.30; val LL: -262.66].....[train forward+backward+step 9.24; val forward 0.61]
[Epoch 198/5000][train LL: -233.31; val LL: -262.43].....[train forward+backward+step 9.29; val forward 0.61]
[Epoch 199/5000][train LL: -233.10; val LL: -262.22].....[train forward+backward+step 9.32; val forward 0.60]
[Epoch 200/5000][train LL: -233.80; val LL: -262.11].....[train forward+backward+step 9.33; val forward 0.62]
[Epoch 201/5000][train LL: -231.84; val LL: -261.79].....[train forward+backward+step 9.11; val forward 0.60]
[Epoch 202/5000][train LL: -234.58; val LL: -261.90].....[train forward+backward+step 9.21; val forward 0.60]
[Epoch 203/5000][train LL: -234.48; val LL: -261.65].....[train forward+backward+step 9.20; val forward 0.60]
[Epoch 204/5000][train LL: -232.75; val LL: -261.34].....[train forward+backward+step 9.34; val forward 0.61]
[Epoch 205/5000][train LL: -232.96; val LL: -261.32].....[train forward+backward+step 9.18; val forward 0.61]
[Epoch 206/5000][train LL: -230.37; val LL: -261.00].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 207/5000][train LL: -229.04; val LL: -260.91].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 208/5000][train LL: -231.68; val LL: -260.63].....[train forward+backward+step 9.23; val forward 0.61]
[Epoch 209/5000][train LL: -232.06; val LL: -260.68].....[train forward+backward+step 9.26; val forward 0.61]
[Epoch 210/5000][train LL: -231.55; val LL: -260.82].....[train forward+backward+step 9.37; val forward 0.62]
[Epoch 211/5000][train LL: -230.56; val LL: -260.49].....[train forward+backward+step 9.35; val forward 0.62]
[Epoch 212/5000][train LL: -229.33; val LL: -260.60].....[train forward+backward+step 9.44; val forward 0.61]
[Epoch 213/5000][train LL: -232.92; val LL: -260.60].....[train forward+backward+step 9.33; val forward 0.64]
[Epoch 214/5000][train LL: -232.16; val LL: -260.44].....[train forward+backward+step 9.42; val forward 0.62]
[Epoch 215/5000][train LL: -230.57; val LL: -260.27].....[train forward+backward+step 9.37; val forward 0.62]
[Epoch 216/5000][train LL: -229.58; val LL: -260.36].....[train forward+backward+step 9.45; val forward 0.62]
