[Epoch 145/5000][train LL: -236.25; val LL: -233.24].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 146/5000][train LL: -236.49; val LL: -233.09].....[train forward+backward+step 5.39; val forward 0.22]
[Epoch 147/5000][train LL: -236.65; val LL: -233.01].....[train forward+backward+step 5.38; val forward 0.23]
[Epoch 148/5000][train LL: -235.85; val LL: -232.67].....[train forward+backward+step 5.40; val forward 0.23]
[Epoch 149/5000][train LL: -236.06; val LL: -232.62].....[train forward+backward+step 5.40; val forward 0.23]
[Epoch 150/5000][train LL: -235.75; val LL: -232.47].....[train forward+backward+step 5.39; val forward 0.22]
[Epoch 151/5000][train LL: -235.77; val LL: -232.23].....[train forward+backward+step 5.39; val forward 0.22]
[Epoch 152/5000][train LL: -235.20; val LL: -231.97].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 153/5000][train LL: -235.30; val LL: -231.78].....[train forward+backward+step 5.38; val forward 0.22]
[Epoch 154/5000][train LL: -234.93; val LL: -231.34].....[train forward+backward+step 5.36; val forward 0.23]
[Epoch 155/5000][train LL: -234.46; val LL: -230.84].....[train forward+backward+step 5.39; val forward 0.23]
[Epoch 156/5000][train LL: -234.10; val LL: -230.53].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 157/5000][train LL: -233.59; val LL: -230.25].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 158/5000][train LL: -233.63; val LL: -229.93].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 159/5000][train LL: -233.11; val LL: -229.62].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 160/5000][train LL: -232.74; val LL: -229.44].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 161/5000][train LL: -232.23; val LL: -229.12].....[train forward+backward+step 5.35; val forward 0.23]
[Epoch 162/5000][train LL: -232.23; val LL: -228.91].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 163/5000][train LL: -232.03; val LL: -228.58].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 164/5000][train LL: -232.15; val LL: -228.37].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 165/5000][train LL: -231.51; val LL: -228.14].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 166/5000][train LL: -231.05; val LL: -227.79].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 167/5000][train LL: -231.05; val LL: -227.50].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 168/5000][train LL: -230.81; val LL: -227.23].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 169/5000][train LL: -230.43; val LL: -226.94].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 170/5000][train LL: -229.82; val LL: -226.76].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 171/5000][train LL: -229.92; val LL: -226.63].....[train forward+backward+step 5.34; val forward 0.22]
[Epoch 172/5000][train LL: -229.19; val LL: -226.38].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 173/5000][train LL: -229.65; val LL: -226.15].....[train forward+backward+step 5.35; val forward 0.22]
[Epoch 174/5000][train LL: -229.44; val LL: -225.95].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 175/5000][train LL: -229.15; val LL: -225.86].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 176/5000][train LL: -228.94; val LL: -225.86].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 177/5000][train LL: -228.98; val LL: -225.80].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 178/5000][train LL: -228.65; val LL: -225.62].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 179/5000][train LL: -228.98; val LL: -225.54].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 180/5000][train LL: -229.19; val LL: -225.35].....[train forward+backward+step 5.37; val forward 0.22]
[Epoch 181/5000][train LL: -228.49; val LL: -225.09].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 182/5000][train LL: -228.25; val LL: -224.84].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 183/5000][train LL: -228.24; val LL: -224.61].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 184/5000][train LL: -227.21; val LL: -224.35].....[train forward+backward+step 5.36; val forward 0.22]
[Epoch 185/5000][train LL: -227.24; val LL: -224.18].....[train forward+backward+step 5.36; val forward 0.22]
